Time,Signal
0,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0
820,0
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,0
970,0
980,0
990,0
1000,0
1010,0
1020,0
1030,0
1040,0
1050,0
1060,0
1070,0
1080,0
1090,0
1100,0
1110,0
1120,0
1130,0
1140,0
1150,0
1160,0
1170,0
1180,0
1190,0
1200,0
1210,0
1220,0
1230,0
1240,0
1250,0
1260,0
1270,0
1280,0
1290,0
1300,0
1310,0
1320,0
1330,0
1340,0
1350,0
1360,0
1370,0
1380,0
1390,0
1400,0
1410,0
1420,0
1430,0
1440,0
1450,0
1460,0
1470,0
1480,0
1490,0
1500,0
1510,0
1520,0
1530,0
1540,0
1550,0
1560,0
1570,0
1580,0
1590,0
1600,0
1610,0
1620,0
1630,0
1640,0
1650,0
1660,0
1670,32767
1680,32767
1690,32767
1700,32767
1710,32767
1720,32767
1730,32767
1740,32767
1750,32767
1760,32767
1770,32767
1780,32767
1790,32767
1800,32767
1810,32767
1820,32767
1830,32767
1840,32767
1850,32767
1860,32767
1870,32767
1880,32767
1890,32767
1900,32767
1910,32767
1920,32767
1930,32767
1940,32767
1950,32767
1960,32767
1970,32767
1980,32767
1990,32767
2000,32767
2010,32767
2020,32767
2030,32767
2040,32767
2050,32767
2060,32767
2070,32767
2080,32767
2090,32767
2100,32767
2110,32767
2120,32767
2130,32767
2140,32767
2150,32767
2160,32767
2170,32767
2180,32767
2190,32767
2200,32767
2210,32767
2220,32767
2230,32767
2240,32767
2250,32767
2260,32767
2270,32767
2280,32767
2290,32767
2300,32767
2310,32767
2320,32767
2330,32767
2340,32767
2350,32767
2360,32767
2370,32767
2380,32767
2390,32767
2400,32767
2410,32767
2420,32767
2430,32767
2440,32767
2450,32767
2460,32767
2470,32767
2480,32767
2490,32767
2500,32767
2510,32767
2520,32767
2530,32767
2540,32767
2550,32767
2560,32767
2570,32767
2580,32767
2590,32767
2600,32767
2610,32767
2620,32767
2630,32767
2640,32767
2650,32767
2660,32767
2670,32767
2680,32767
2690,32767
2700,32767
2710,32767
2720,32767
2730,32767
2740,32767
2750,32767
2760,32767
2770,32767
2780,32767
2790,32767
2800,32767
2810,32767
2820,32767
2830,32767
2840,32767
2850,32767
2860,32767
2870,32767
2880,32767
2890,32767
2900,32767
2910,32767
2920,32767
2930,32767
2940,32767
2950,32767
2960,32767
2970,32767
2980,32767
2990,32767
3000,32767
3010,32767
3020,32767
3030,32767
3040,32767
3050,32767
3060,32767
3070,32767
3080,32767
3090,32767
3100,32767
3110,32767
3120,32767
3130,32767
3140,32767
3150,32767
3160,32767
3170,32767
3180,32767
3190,32767
3200,32767
3210,32767
3220,32767
3230,32767
3240,32767
3250,32767
3260,32767
3270,32767
3280,32767
3290,32767
3300,32767
3310,32767
3320,32767
3330,32767
3340,32767
3350,32767
